"name";"type";"url";"likely_already_qms";"likely_qms_layers";"overlay";"license_url";"attribution_text";"attribution_url";"available_projections";"id"
"imagico.de OSM images for mapping: Rann of Kutch";"tms";"http://imagico.de/map/osmim_tiles.php?layer=LC81510432015030LGN00&z={zoom}&x={x}&y={-y}";"False";"[]";"";"";"imagico.de OSM images for mapping";"http://maps.imagico.de/#osmim";"";"osmim-imagicode-LC81510432015030LGN00"
"Japan GSI ortho Imagery";"tms";"http://cyberjapandata.gsi.go.jp/xyz/ort/{zoom}/{x}/{y}.jpg";"False";"[]";"";"http://www.gsi.go.jp/kikakuchousei/kikakuchousei40182.html";"";"";"";"gsi.go.jp"
"Pangasinán/Bulacan (Phillipines HiRes)";"tms";"http://gravitystorm.dev.openstreetmap.org/imagery/philippines/{zoom}/{x}/{y}.png";"True";"[u'http://tile.openstreetmap.org/{z}/{x}/{y}.png', u'http://gps-a.tile.openstreetmap.org/lines/{z}/{x}/{y}.png']";"";"";"";"";"";"Pangasinan_Bulacan_HiRes"
"imagico.de OSM images for mapping: Western Karakoram";"tms";"http://imagico.de/map/osmim_tiles.php?layer=LC81490352013282LGN00&z={zoom}&x={x}&y={-y}";"False";"[]";"";"";"imagico.de OSM images for mapping";"http://maps.imagico.de/#osmim";"";"osmim-imagicode-LC81490352013282LGN00"
"ScanEx IRS";"scanex";"IRS";"False";"[]";"";"";"IRS";"http://irs.gis-lab.info/";"";"ScanEx-IRS"
"ScanEx SPOT";"scanex";"SPOT";"False";"[]";"";"";"IRS";"http://irs.gis-lab.info/";"";"ScanEx-SPOT"
"NLSC General Map with Contour line";"tms";"http://maps.nlsc.gov.tw/S_Maps/wmts?SERVICE=WMTS&REQUEST=GetTile&VERSION=1.0.0&LAYER=EMAP5_OPENDATA&STYLE=_null&TILEMATRIXSET=EPSG:3857&TILEMATRIX=EPSG:3857:{zoom}&TILEROW={y}&TILECOL={x}&FORMAT=image/png";"False";"[]";"";"http://data.gov.tw/license";"NLSC EMAP 2015";"http://maps.nlsc.gov.tw/";"";"NLSC-EMAP5"
"AGRI black-and-white 2.5m";"tms";"http://agri.openstreetmap.org/{zoom}/{x}/{y}.png";"True";"[u'http://tile.openstreetmap.org/{z}/{x}/{y}.png', u'http://gps-a.tile.openstreetmap.org/lines/{z}/{x}/{y}.png']";"";"";"AGRI";"";"";"AGRI-black_and_white-2.5m"
"LPI NSW Administrative Boundaries County";"wms";"https://maps.six.nsw.gov.au/arcgis/services/public/NSW_Administrative_Boundaries/MapServer/WMSServer?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetMap&CRS={proj}&BBOX={bbox}&WIDTH={width}&HEIGHT={height}&LAYERS=County&STYLES=&FORMAT=image/png32&DPI=96&MAP_RESOLUTION=96&FORMAT_OPTIONS=dpi:96&TRANSPARENT=TRUE";"True";"[u'https://gisservices.information.qld.gov.au/arcgis/services/PlanningCadastre/LandParcelPropertyFramework/MapServer/WMSServer?request=GetCapabilities&service=WMS']";"True";"https://wiki.openstreetmap.org/wiki/Attribution/New_South_Wales_Government_Data";"© Land and Property Information 2016";"http://spatialservices.finance.nsw.gov.au/mapping_and_imagery/lpi_web_services";"[u'EPSG:3857']";"LPI_NSW_Administrative_Boundaries_County"
"LPI NSW Administrative Boundaries LGA";"wms";"https://maps.six.nsw.gov.au/arcgis/services/public/NSW_Administrative_Boundaries/MapServer/WMSServer?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetMap&CRS={proj}&BBOX={bbox}&WIDTH={width}&HEIGHT={height}&LAYERS=LocalGovernmentArea&STYLES=&FORMAT=image/png32&DPI=96&MAP_RESOLUTION=96&FORMAT_OPTIONS=dpi:96&TRANSPARENT=TRUE";"True";"[u'https://gisservices.information.qld.gov.au/arcgis/services/PlanningCadastre/LandParcelPropertyFramework/MapServer/WMSServer?request=GetCapabilities&service=WMS']";"True";"https://wiki.openstreetmap.org/wiki/Attribution/New_South_Wales_Government_Data";"© Land and Property Information 2016";"http://spatialservices.finance.nsw.gov.au/mapping_and_imagery/lpi_web_services";"[u'EPSG:3857']";"LPI_NSW_Administrative_Boundaries_LGA"
"LPI NSW Administrative Boundaries NPWS Reserve";"wms";"https://maps.six.nsw.gov.au/arcgis/services/public/NSW_Administrative_Boundaries/MapServer/WMSServer?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetMap&CRS={proj}&BBOX={bbox}&WIDTH={width}&HEIGHT={height}&LAYERS=NPWSReserve&STYLES=&FORMAT=image/png32&DPI=96&MAP_RESOLUTION=96&FORMAT_OPTIONS=dpi:96&TRANSPARENT=TRUE";"True";"[u'https://gisservices.information.qld.gov.au/arcgis/services/PlanningCadastre/LandParcelPropertyFramework/MapServer/WMSServer?request=GetCapabilities&service=WMS']";"True";"https://wiki.openstreetmap.org/wiki/Attribution/New_South_Wales_Government_Data";"© Land and Property Information 2016";"http://spatialservices.finance.nsw.gov.au/mapping_and_imagery/lpi_web_services";"[u'EPSG:3857']";"LPI_NSW_Administrative_Boundaries_NPWS_Reserve"
"LPI NSW Administrative Boundaries Parish";"wms";"https://maps.six.nsw.gov.au/arcgis/services/public/NSW_Administrative_Boundaries/MapServer/WMSServer?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetMap&CRS={proj}&BBOX={bbox}&WIDTH={width}&HEIGHT={height}&LAYERS=Parish&STYLES=&FORMAT=image/png32&DPI=96&MAP_RESOLUTION=96&FORMAT_OPTIONS=dpi:96&TRANSPARENT=TRUE";"True";"[u'https://gisservices.information.qld.gov.au/arcgis/services/PlanningCadastre/LandParcelPropertyFramework/MapServer/WMSServer?request=GetCapabilities&service=WMS']";"True";"https://wiki.openstreetmap.org/wiki/Attribution/New_South_Wales_Government_Data";"© Land and Property Information 2016";"http://spatialservices.finance.nsw.gov.au/mapping_and_imagery/lpi_web_services";"[u'EPSG:3857']";"LPI_NSW_Administrative_Boundaries_Parish"
"LPI NSW Administrative Boundaries State Forest";"wms";"https://maps.six.nsw.gov.au/arcgis/services/public/NSW_Administrative_Boundaries/MapServer/WMSServer?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetMap&CRS={proj}&BBOX={bbox}&WIDTH={width}&HEIGHT={height}&LAYERS=StateForest&STYLES=&FORMAT=image/png32&DPI=96&MAP_RESOLUTION=96&FORMAT_OPTIONS=dpi:96&TRANSPARENT=TRUE";"True";"[u'https://gisservices.information.qld.gov.au/arcgis/services/PlanningCadastre/LandParcelPropertyFramework/MapServer/WMSServer?request=GetCapabilities&service=WMS']";"True";"https://wiki.openstreetmap.org/wiki/Attribution/New_South_Wales_Government_Data";"© Land and Property Information 2016";"http://spatialservices.finance.nsw.gov.au/mapping_and_imagery/lpi_web_services";"[u'EPSG:3857']";"LPI_NSW_Administrative_Boundaries_StateForest"
"LPI NSW Administrative Boundaries Suburb";"wms";"https://maps.six.nsw.gov.au/arcgis/services/public/NSW_Administrative_Boundaries/MapServer/WMSServer?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetMap&CRS={proj}&BBOX={bbox}&WIDTH={width}&HEIGHT={height}&LAYERS=Suburb&STYLES=&FORMAT=image/png32&DPI=96&MAP_RESOLUTION=96&FORMAT_OPTIONS=dpi:96&TRANSPARENT=TRUE";"True";"[u'https://gisservices.information.qld.gov.au/arcgis/services/PlanningCadastre/LandParcelPropertyFramework/MapServer/WMSServer?request=GetCapabilities&service=WMS']";"True";"https://wiki.openstreetmap.org/wiki/Attribution/New_South_Wales_Government_Data";"© Land and Property Information 2016";"http://spatialservices.finance.nsw.gov.au/mapping_and_imagery/lpi_web_services";"[u'EPSG:3857']";"LPI_NSW_Administrative_Boundaries_Suburb"
"LPI NSW Base Map";"tms";"https://maps.six.nsw.gov.au/arcgis/rest/services/public/NSW_Base_Map/MapServer/tile/{zoom}/{y}/{x}";"True";"[u'http://maps.six.nsw.gov.au/arcgis/rest/services/public/NSW_Base_Map/MapServer/tile/{z}/{y}/{x}', u'http://services.thelist.tas.gov.au/arcgis/rest/services/Basemaps/Orthophoto/MapServer/tile/{z}/{y}/{x}', u'http://services.thelist.tas.gov.au/arcgis/rest/services/Basemaps/Topographic/MapServer/tile/{z}/{y}/{x}', u'http://www.ga.gov.au/gisimg/rest/services/topography/NATMAP_Digital_Maps_250K_2008Edition_WM/MapServer/tile/{z}/{y}/{x}', u'http://services.ga.gov.au/gis/rest/services/NationalMap_Colour_Topographic_Base_World_WM/MapServer/tile/{z}/{y}/{x}']";"";"https://wiki.openstreetmap.org/wiki/Attribution/New_South_Wales_Government_Data";"© Land and Property Information 2016";"http://spatialservices.finance.nsw.gov.au/mapping_and_imagery/lpi_web_services";"";"NSW_LPI_BaseMap"
"LPI NSW Imagery";"tms";"https://maps.six.nsw.gov.au/arcgis/rest/services/public/NSW_Imagery/MapServer/tile/{zoom}/{y}/{x}";"True";"[u'http://maps.six.nsw.gov.au/arcgis/rest/services/public/NSW_Base_Map/MapServer/tile/{z}/{y}/{x}', u'http://services.thelist.tas.gov.au/arcgis/rest/services/Basemaps/Orthophoto/MapServer/tile/{z}/{y}/{x}', u'http://services.thelist.tas.gov.au/arcgis/rest/services/Basemaps/Topographic/MapServer/tile/{z}/{y}/{x}', u'http://www.ga.gov.au/gisimg/rest/services/topography/NATMAP_Digital_Maps_250K_2008Edition_WM/MapServer/tile/{z}/{y}/{x}', u'http://services.ga.gov.au/gis/rest/services/NationalMap_Colour_Topographic_Base_World_WM/MapServer/tile/{z}/{y}/{x}']";"";"https://wiki.openstreetmap.org/wiki/Attribution/New_South_Wales_Government_Data";"© Land and Property Information 2016";"http://spatialservices.finance.nsw.gov.au/mapping_and_imagery/lpi_web_services";"";"NSW_LPI_Imagery"
"LPI NSW Topographic Map";"tms";"https://maps.six.nsw.gov.au/arcgis/rest/services/public/NSW_Topo_Map/MapServer/tile/{zoom}/{y}/{x}";"True";"[u'http://maps.six.nsw.gov.au/arcgis/rest/services/public/NSW_Base_Map/MapServer/tile/{z}/{y}/{x}', u'http://services.thelist.tas.gov.au/arcgis/rest/services/Basemaps/Orthophoto/MapServer/tile/{z}/{y}/{x}', u'http://services.thelist.tas.gov.au/arcgis/rest/services/Basemaps/Topographic/MapServer/tile/{z}/{y}/{x}', u'http://www.ga.gov.au/gisimg/rest/services/topography/NATMAP_Digital_Maps_250K_2008Edition_WM/MapServer/tile/{z}/{y}/{x}', u'http://services.ga.gov.au/gis/rest/services/NationalMap_Colour_Topographic_Base_World_WM/MapServer/tile/{z}/{y}/{x}']";"";"https://wiki.openstreetmap.org/wiki/Attribution/New_South_Wales_Government_Data";"© Land and Property Information 2016";"http://spatialservices.finance.nsw.gov.au/mapping_and_imagery/lpi_web_services";"";"NSW_LPI_TopographicMap"
"imagico.de OSM images for mapping: Northwest Heard Island";"tms";"http://imagico.de/map/osmim_tiles.php?layer=EO1A1350972013086110KF&z={zoom}&x={x}&y={-y}";"False";"[]";"";"";"imagico.de OSM images for mapping";"http://maps.imagico.de/#osmim";"";"osmim-imagicode-EO1A1350972013086110KF"
"imagico.de OSM images for mapping: Heard Island coast";"tms";"http://imagico.de/map/osmim_tiles.php?layer=S2A_R047_S54_20160411T044330&z={zoom}&x={x}&y={-y}";"False";"[]";"";"";"imagico.de OSM images for mapping";"http://maps.imagico.de/#osmim";"";"osmim-imagicode-S2A_R047_S54_20160411T044330"
"imagico.de OSM images for mapping: Vanatinai";"tms";"http://imagico.de/map/osmim_tiles.php?layer=LC80910682014358LGN00&z={zoom}&x={x}&y={-y}";"False";"[]";"";"";"imagico.de OSM images for mapping";"http://maps.imagico.de/#osmim";"";"osmim-imagicode-LC80910682014358LGN00"
"imagico.de OSM images for mapping: New Ireland";"tms";"http://imagico.de/map/osmim_tiles.php?layer=LC80940622015159LGN00&z={zoom}&x={x}&y={-y}";"False";"[]";"";"";"imagico.de OSM images for mapping";"http://maps.imagico.de/#osmim";"";"osmim-imagicode-LC80940622015159LGN00"
"imagico.de OSM images for mapping: Prokletije Mountains";"tms";"http://imagico.de/map/osmim_tiles.php?layer=S2A_R136_N41_20150831T093006&z={zoom}&x={x}&y={-y}";"False";"[]";"";"";"imagico.de OSM images for mapping";"http://maps.imagico.de/#osmim";"";"osmim-imagicode-S2A_R136_N41_20150831T093006"
"basemap.at";"tms";"https://maps{switch:1,2,3,4}.wien.gv.at/basemap/geolandbasemap/normal/google3857/{zoom}/{y}/{x}.png";"False";"[]";"";"http://creativecommons.org/licenses/by/3.0/at/deed.de";"basemap.at";"";"";"basemap.at"
"basemap.at Orthofoto";"tms";"https://maps{switch:1,2,3,4}.wien.gv.at/basemap/bmaporthofoto30cm/normal/google3857/{zoom}/{y}/{x}.jpeg";"False";"[]";"";"http://creativecommons.org/licenses/by/3.0/at/deed.de";"basemap.at";"";"";"basemap.at-orthofoto"
"Geoimage.at MaxRes";"wms";"http://gis.lebensministerium.at/wmsgw/?key=4d80de696cd562a63ce463a58a61488d&FORMAT=image/jpeg&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&Layers=Luftbild_MR,Luftbild_1m,Luftbild_8m,Satellitenbild_30m&SRS={proj}&WIDTH={width}&HEIGHT={height}&BBOX={bbox}";"False";"[]";"";"";"geoimage.at";"";"[u'EPSG:3857', u'EPSG:900913', u'EPSG:31287', u'EPSG:3034', u'EPSG:3035', u'EPSG:3044', u'EPSG:3045', u'EPSG:31254', u'EPSG:31255', u'EPSG:31256', u'EPSG:31257', u'EPSG:31258', u'EPSG:31259', u'EPSG:32632', u'EPSG:32633', u'EPSG:3416', u'EPSG:4258', u'EPSG:4326', u'CRS:84']";"geoimage.at"
"Graz: Basiskarte (base map)";"wms";"http://geodaten1.graz.at/ArcGIS_Graz/services/Extern/BASISKARTE_WMS/MapServer/WMSServer?FORMAT=image/png&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&Layers=1&STYLES=&SRS={proj}&WIDTH={width}&HEIGHT={height}&BBOX={bbox}";"False";"[]";"";"";"Stadt Graz – data.graz.gv.at";"";"[u'EPSG:4326', u'EPSG:3857', u'CRS:84']";"graz.at-basemap"
"Tiris: contour lines";"wms";"https://gis.tirol.gv.at/arcgis/services/Service_Public/terrain/MapServer/WmsServer?FORMAT=image/png&TRANSPARENT=TRUE&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&LAYERS=Hoehenschichtlinien 20m&STYLES=&SRS={proj}&WIDTH={width}&HEIGHT={height}&BBOX={bbox}";"False";"[]";"";"https://www.tirol.gv.at/data/datenkatalog/geographie-und-planung/gelaende-tirol/";"tiris.tirol.gv.at";"";"[u'EPSG:3035', u'EPSG:3044', u'EPSG:3045', u'EPSG:3857', u'EPSG:4258', u'EPSG:4326', u'EPSG:25832', u'EPSG:25833', u'EPSG:31254', u'EPSG:31255', u'EPSG:31256', u'EPSG:31257', u'EPSG:31258', u'EPSG:31259', u'EPSG:31287', u'EPSG:31297', u'EPSG:32632', u'EPSG:32633', u'EPSG:102100']";"tirol.gv.at-contourlines"
"Tiris: DGM (Terrain model)";"wms";"https://gis.tirol.gv.at/arcgis/services/Service_Public/terrain/MapServer/WmsServer?FORMAT=image/jpeg&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&LAYERS=Image Schummerung_Gelaendemodell&STYLES=&SRS={proj}&WIDTH={width}&HEIGHT={height}&BBOX={bbox}";"False";"[]";"";"https://www.tirol.gv.at/data/datenkatalog/geographie-und-planung/gelaende-tirol/";"tiris.tirol.gv.at";"";"[u'EPSG:3035', u'EPSG:3044', u'EPSG:3045', u'EPSG:3857', u'EPSG:4258', u'EPSG:4326', u'EPSG:25832', u'EPSG:25833', u'EPSG:31254', u'EPSG:31255', u'EPSG:31256', u'EPSG:31257', u'EPSG:31258', u'EPSG:31259', u'EPSG:31287', u'EPSG:31297', u'EPSG:32632', u'EPSG:32633', u'EPSG:102100']";"tirol.gv.at-DGM"
"Tiris: DOM (Surface model)";"wms";"https://gis.tirol.gv.at/arcgis/services/Service_Public/terrain/MapServer/WmsServer?FORMAT=image/jpeg&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&LAYERS=Image Schummerung_Oberflaechenmodell&STYLES=&SRS={proj}&WIDTH={width}&HEIGHT={height}&BBOX={bbox}";"False";"[]";"";"https://www.tirol.gv.at/data/datenkatalog/geographie-und-planung/gelaende-tirol/";"tiris.tirol.gv.at";"";"[u'EPSG:3034', u'EPSG:3035', u'EPSG:3044', u'EPSG:3045', u'EPSG:3857', u'EPSG:4258', u'EPSG:4326', u'EPSG:25832', u'EPSG:25833', u'EPSG:31254', u'EPSG:31255', u'EPSG:31256', u'EPSG:31257', u'EPSG:31258', u'EPSG:31259', u'EPSG:31287', u'EPSG:31297', u'EPSG:32632', u'EPSG:32633', u'EPSG:102100']";"tirol.gv.at-DOM"
"Vienna: Beschriftungen (annotations)";"tms";"https://maps.wien.gv.at/wmts/beschriftung/normal/google3857/{zoom}/{y}/{x}.png";"False";"[]";"";"";"Stadt Wien";"https://data.wien.gv.at/";"";"wien.gv.at-labels"
"Vienna: Mehrzweckkarte (general purpose)";"tms";"https://maps.wien.gv.at/wmts/fmzk/pastell/google3857/{zoom}/{y}/{x}.jpeg";"False";"[]";"";"";"Stadt Wien";"https://data.wien.gv.at/";"";"wien.gv.at-gp"
"Vienna: Orthofoto (aerial image)";"tms";"https://maps.wien.gv.at/wmts/lb/farbe/google3857/{zoom}/{y}/{x}.jpeg";"False";"[]";"";"";"Stadt Wien";"https://data.wien.gv.at/";"";"wien.gv.at-aerial_image"
"VoGIS: DGM (Terrain model)";"wms";"http://vogis.cnv.at/mapserver/mapserv?map=i_hoehen_und_gelaende_r_wms.map&FORMAT=image/jpeg&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&LAYERS=schummerung_50cm_terrain&STYLES=&SRS={proj}&WIDTH={width}&HEIGHT={height}&BBOX={bbox}";"False";"[]";"";"";"";"";"[u'EPSG:4326', u'EPSG:3785', u'EPSG:3857', u'EPSG:31254', u'EPSG:31284', u'EPSG:32632', u'EPSG:25832', u'EPSG:21781', u'EPSG:900913']";"vogis.cnv.at-DGM"
"VoGIS: DOM (Surface model)";"wms";"http://vogis.cnv.at/mapserver/mapserv?map=i_hoehen_und_gelaende_r_wms.map&FORMAT=image/jpeg&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&LAYERS=schummerung_50cm_surface&STYLES=&SRS={proj}&WIDTH={width}&HEIGHT={height}&BBOX={bbox}";"False";"[]";"";"";"";"";"[u'EPSG:4326', u'EPSG:3785', u'EPSG:3857', u'EPSG:31254', u'EPSG:31284', u'EPSG:32632', u'EPSG:25832', u'EPSG:21781', u'EPSG:900913']";"vogis.cnv.at-DOM"
"VoGIS: Echtfarbenbild 2012 (12cm)";"wms";"http://vogis.cnv.at/mapserver/mapserv?map=i_luftbilder_r_wms.map&FORMAT=image/jpeg&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&LAYERS=ef2012_12cm&STYLES=&SRS={proj}&WIDTH={width}&HEIGHT={height}&BBOX={bbox}";"False";"[]";"";"";"";"";"[u'EPSG:4326', u'EPSG:3785', u'EPSG:3857', u'EPSG:31254', u'EPSG:31284', u'EPSG:32632', u'EPSG:25832', u'EPSG:21781', u'EPSG:900913']";"vogis.cnv.at-ef2012_12cm"
"VoGIS: Echtfarbenbild 2015 (10cm)";"wms";"http://vogis.cnv.at/mapserver/mapserv?map=i_luftbilder_r_wms.map&FORMAT=image/jpeg&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&LAYERS=ef2015_10cm&STYLES=&SRS={proj}&WIDTH={width}&HEIGHT={height}&BBOX={bbox}";"False";"[]";"";"";"";"";"[u'EPSG:4326', u'EPSG:3785', u'EPSG:3857', u'EPSG:31254', u'EPSG:31284', u'EPSG:32632', u'EPSG:25832', u'EPSG:21781', u'EPSG:900913']";"vogis.cnv.at-ef2015_10cm"
"VoGIS: Echtfarbenbild Winter 2015 (20cm)";"wms";"http://vogis.cnv.at/mapserver/mapserv?map=i_luftbilder_r_wms.map&FORMAT=image/jpeg&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&LAYERS=wi2015_20cm&STYLES=&SRS={proj}&WIDTH={width}&HEIGHT={height}&BBOX={bbox}";"False";"[]";"";"";"";"";"[u'EPSG:4326', u'EPSG:3785', u'EPSG:3857', u'EPSG:31254', u'EPSG:31284', u'EPSG:32632', u'EPSG:25832', u'EPSG:21781', u'EPSG:900913']";"vogis.cnv.at-wi2015_20cm"
"Belgium AGIV GRB Flanders";"tms";"http://tile.informatievlaanderen.be/ws/raadpleegdiensten/wmts?SERVICE=WMTS&REQUEST=GetTile&VERSION=1.0.0&LAYER=grb_bsk&STYLE=&FORMAT=image/png&tileMatrixSet=GoogleMapsVL&tileMatrix={zoom}&tileRow={y}&tileCol={x}";"False";"[]";"";"https://www.agiv.be/~/media/agiv/producten/grb/documenten/grb%20open%20data%20licentie.pdf";"GRB Flanders (c) AGIV";"";"";"GRB"
"Belgium AGIV Orthophoto Flanders";"tms";"http://tile.informatievlaanderen.be/ws/raadpleegdiensten/wmts?SERVICE=WMTS&REQUEST=GetTile&VERSION=1.0.0&LAYER=omwrgbmrvl&STYLE=&FORMAT=image/png&tileMatrixSet=GoogleMapsVL&tileMatrix={zoom}&tileRow={y}&tileCol={x}";"False";"[]";"";"https://download.agiv.be/Producten/Detail?id=595&title=Orthofotomozaiek_middenschalig_winteropnamen_kleur_meest_recent_Vlaanderen_2015_03";"Orthophoto Flanders most recent (c) AGIV";"";"";"AGIV"
"imagico.de OSM images for mapping: Rila and Pirin Mountains";"tms";"http://imagico.de/map/osmim_tiles.php?layer=S2A_R093_N41_20150828T092005&z={zoom}&x={x}&y={-y}";"False";"[]";"";"";"imagico.de OSM images for mapping";"http://maps.imagico.de/#osmim";"";"osmim-imagicode-S2A_R093_N41_20150828T092005"
"Canton de Fribourg 50cm (2005)";"wms";"http://geo.fr.ch/wms/orthophoto_2005_fribourg.php?FORMAT=image/jpeg&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&Layers=Orthophoto_2005&STYLES=&SRS={proj}&WIDTH={width}&HEIGHT={height}&BBOX={bbox}";"False";"[]";"";"";"Orthophoto 2005, Etat de Fribourg ";"";"";"Fribourg-2005"
"Canton de Génève 5cm (SITG 2011)";"wms";"http://etat.geneve.ch/ags2/services/Orthophotos_2011/MapServer/WMSServer?FORMAT=image/jpeg&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&Layers=0&STYLES=&SRS={proj}&WIDTH={width}&HEIGHT={height}&BBOX={bbox}";"False";"[]";"";"";"Orthophotos du SITG 2011";"";"";"Geneve-SITG-2011"
"Canton de Neuchâtel 50cm (SITN 2006)";"wms";"http://sitn.ne.ch/ogc-sitn-open/wms?FORMAT=image/jpeg&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&Layers=ortho&STYLES=&SRS={proj}&WIDTH={width}&HEIGHT={height}&BBOX={bbox}";"False";"[]";"";"";"orthophotos2006sitn50cm";"";"";"Neuchatel-SITN-2006"
